m,L,b,u_max,theta0,theta_dot0,kE,k1,k2,cost,success,settling_time,upright_error,control_effort,kE_hit_min,kE_hit_max,k1_hit_min,k1_hit_max,k2_hit_min,k2_hit_max,hit_grid_edge
1.7075043856180703,1.3079407897364939,0.1030651122084284,4.286411040705133,-2.8027360567794943,-0.4665244768579271,0.1,194.84375,98.1875,2.1309910085021952,1,0.533751059321007,0.04162503216393384,11.8098962754185,1,0,0,0,0,0,1
1.0989586538263592,1.2174146792882161,0.05616466560720068,2.6617993439849306,2.9516602511152668,0.25570698147180826,0.1,194.84375,98.1875,0.30715204006617836,1,0.07562084996165919,0.010216172832294233,1.2936946178157687,1,0,0,0,0,0,1
1.4376431999070005,1.3972138009695754,0.15513713804903873,3.801657519924735,-1.2555922625248999,1.4942137815850476,1.3250000000000002,479.609375,194.375,116.4220578038647,1,3.249280975062244,10.976679820650828,34.05978622294177,0,0,0,0,0,1,1
0.8762366871626692,1.4467529428594246,0.037864076907952265,3.4343312833448607,-0.9431737179370496,-1.0778350136403763,1.3250000000000002,99.921875,34.0625,138.61107800536485,1,3.643667242670108,13.203805345815493,29.293573045397828,0,0,0,0,0,0,0
1.3072465272079148,0.8432708698133384,0.07381344795907566,4.995974124703059,3.062707200397904,0.5310250904285843,0.1,194.84375,34.0625,0.061707300806843765,1,0.012116384036518909,0.00047082241605843627,0.44882692609740493,1,0,0,0,0,0,1
1.7971963805248796,1.355302514932059,0.16220467975686845,4.091570891331813,-2.656534155131176,1.7858631217842533,1.3250000000000002,99.921875,34.0625,47.90845298671456,1,1.9254756467928043,4.551596114243239,4.670161974893613,0,0,0,0,0,0,0
1.5391150519477286,1.3158171113360575,0.06888135155857134,2.3587054055233505,0.4498588334286988,-1.41501829310561,1.3250000000000002,99.921875,34.0625,388.77171603096275,1,8.50500240907358,37.61968770754626,40.69836546426543,0,0,0,0,0,0,0
1.267732437050385,1.4504636963259352,0.028831922543926747,9.58919557709795,-1.1822978560010347,-0.3066942041096974,1.3250000000000002,479.609375,194.375,68.41870972856529,1,1.8714499308843737,5.882391982298389,77.23339974697024,0,0,0,0,0,1,1
1.9145841583585514,1.0113275528143615,0.19524874114154084,2.6466881911648175,0.6745365862312105,-0.49405366249090976,5.0,479.609375,162.3125,348.9647508719054,1,7.76398290339971,33.643338112913305,47.673868393726195,0,0,0,0,0,0,0
1.934002564443463,0.7076818100791469,0.16568897705490615,3.194256984656162,0.08045377785829455,-1.4563215839179735,1.3250000000000002,384.6875,130.25,198.53261943074975,1,4.001681921096361,19.09371143567615,35.93823152891923,0,0,0,0,0,0,0
0.6928553041537995,0.999277862440115,0.1202996715246715,2.2295120669755564,-2.212145652424117,1.712844091841478,7.45,574.53125,194.375,40.38494451396778,1,1.5274615140743344,3.8683402863078666,1.7408013681478223,0,1,0,1,0,1,1
1.1305681935938914,1.4258693448167037,0.054773997579656425,2.4803888329802133,-1.190390559076112,0.872741031488308,1.3250000000000002,194.84375,66.125,180.512937381337,1,4.982813799702305,17.32364987361496,22.936248454850976,0,0,0,0,0,0,0
0.9904584149083411,1.4872768433379255,0.06374216769710335,8.308391486560232,2.3241283274666467,-0.4356607738432241,1.3250000000000002,479.609375,194.375,51.28099541392554,1,1.9718595100238516,4.801407790985263,12.950579940490522,0,0,0,0,0,1,1
1.4554425309821815,0.7697867137638703,0.008194704787238938,2.1322210842282328,1.9683349641197863,1.6510223091108869,1.3250000000000002,479.609375,130.25,40.44801042506501,1,1.688790548961484,3.841113106761507,3.48088808488449,0,0,0,0,0,0,0
1.6716763832262065,1.1058470295709681,0.14196023808168504,2.7127829833776715,0.8213028972554777,1.923242808897811,1.3250000000000002,99.921875,34.0625,236.47864005915915,1,6.35502764107774,22.65936606350521,35.29951783029283,0,0,0,0,0,0,0
1.5408996209860464,1.1414582208782305,0.025728844863527247,2.9096644010506347,0.9634983265712727,1.4138284238606427,1.3250000000000002,384.6875,130.25,179.65831823716906,1,4.7320168350353615,17.195369740897203,29.726039931616754,0,0,0,0,0,0,0
1.7777509039732367,1.3848929540768635,0.15314170531151314,2.2575888070652432,-2.826178464416399,-0.6823398621441084,0.1,384.6875,162.3125,0.664109790344728,1,0.2747416478755771,0.02244905544979427,1.6487758797120815,1,0,0,0,0,0,1
1.3503752583190476,0.9307441454901856,0.01881476509230491,4.784636403487964,0.7634638046430053,-1.913379987269158,1.3250000000000002,574.53125,162.3125,92.83298668665032,1,2.7320200220911204,8.678189509736676,33.1907156719244,0,0,0,1,0,0,1
1.1654633554440008,1.0684911919245565,0.18162075499216393,4.033996427990416,0.5578291747029591,-0.5635067175587469,1.3250000000000002,194.84375,66.125,172.22569597940736,1,4.345745755007064,16.336913674759696,45.108134768033175,0,0,0,0,0,0,0
0.8924182013739745,0.7984911434141233,0.1628451481188561,2.7353275370807753,0.6289501539883458,0.9142421072471785,1.3250000000000002,384.6875,130.25,117.38832290010568,1,2.7454200293723257,11.311500537140992,15.278974993234334,0,0,0,0,0,0,0
1.805373805955127,0.7868172090875554,0.12062963001031238,8.220272663361431,1.3576369379793922,1.6615204819620302,1.3250000000000002,99.921875,34.0625,50.67424208658764,1,1.6546443393970023,4.440746209742938,46.12135649761248,0,0,0,0,0,0,0
1.7464749783336673,0.8609466668342566,0.140547861116411,8.880950293220756,0.8879239189358294,0.19345283525325563,1.3250000000000002,99.921875,34.0625,56.34624591122067,1,1.4629246516541803,4.876187099265395,61.21450266912546,0,0,0,0,0,0,0
1.5562295474203545,1.161668720802474,0.013798647246404495,7.6224131768777506,-1.13749395632182,-0.19961730315857107,1.3250000000000002,99.921875,34.0625,62.89195554986818,1,1.7522504606901317,5.531217177705404,58.275333121240024,0,0,0,0,0,0,0
0.7403642455621521,1.072229495472084,0.07542711079229401,4.583481438985139,1.1725296402422964,1.88892813339416,1.3250000000000002,194.84375,66.125,59.49695105028517,1,2.0209047962900195,5.561753697319675,18.58509280798398,0,0,0,0,0,0,0
1.546604324715178,0.8138142722224316,0.024239419772325466,4.588732172913021,2.709384056809683,1.158669253063163,7.45,289.765625,98.1875,0.7396758699776012,1,0.325807053437583,0.032600321259745185,0.8786560394256624,0,1,0,0,0,0,1
0.920113943945239,0.9611467098029421,0.024343938515288377,6.18086681375146,-0.5707117194176581,-1.7134418111813403,1.3250000000000002,99.921875,34.0625,77.79671266588522,1,2.2574173817182634,7.121220306280147,43.27092221365471,0,0,0,0,0,0,0
1.7676121891968524,0.660973091169107,0.11154890947313843,4.94463953331417,-1.7910724662421598,-0.4567038496432061,1.3250000000000002,479.609375,130.25,37.147089498776594,1,1.3716310762427633,3.4627518093393186,11.47940329140643,0,0,0,0,0,0,0
